19,3,21432,5,5,1,10,1,0,0,1,0,0,0,1
12,2,21433,7,7,1,4,1,0,0,1,0,8,0,1
15,2,11361,0,0,0,0,0,0,0,1,0,0,0,0
13,2,4653,0,0,1,2,1,0,0,1,0,5,0,1
26,5,21434,4,4,0,11,3,0,0,1,0,29,0,0
6,4,21435,0,0,2,3,4,0,1,1,0,0,0,1
6,2,21436,5,5,1,0,1,0,0,1,0,0,0,0
49,5,12769,1,1,2,11,4,1,1,1,0,0,0,0
25,2,21437,4,4,6,7,4,0,0,1,0,0,0,1
9,2,2108,5,5,1,3,1,0,0,1,0,3,0,0
3,2,6442,2,2,1,6,1,0,0,1,0,0,0,0
31,1,2187,1,1,0,6,0,0,0,1,0,3,0,0
26,5,162,1,1,0,11,5,2,1,1,0,27,0,0
17,1,1773,1,1,1,7,1,0,0,1,0,12,0,0
48,2,16625,0,0,1,1,1,0,0,38,0,16,4,1
14,2,20219,0,0,0,0,0,0,1,1,0,0,0,0
0,2,13081,0,0,1,1,1,0,0,1,5,0,0,1
57,5,21438,7,7,1,11,1,0,0,1,0,0,10,0
10,2,4350,1,1,1,2,1,0,0,1,0,0,0,0
37,2,4201,0,0,0,1,0,0,1,1,0,0,0,0
15,2,5560,7,7,0,6,3,0,0,1,0,0,0,0
51,2,21439,1,1,4,8,0,0,0,1,0,0,0,0
23,2,5252,1,1,1,6,1,0,0,12,0,8,0,1
